"","ISO3","country","SFarm"
"1","UZB","Uzbekistan",0.220948848336854
"2","VNM","Vietnam",0.208585149411145
"3","MEX","Mexico",0.209866767047547
"4","COL","Colombia",0.252653907738578
"5","EGY","Egypt",0.289505105160001
"6","PHL","Philippines",0.271988719178408
"7","PER","Peru",0.232574401438446
"8","MAR","Morocco",0.204263375308376
"9","IND","India",0.499680089511337
"10","KHM","Cambodia",0.294574801736777
"11","NPL","Nepal",0.320403851636762
"12","BGD","Bangladesh",0.333865558995406
"13","LAO","Laos",0.303202581013601
"14","ZWE","Zimbabwe",0.394811841911375
"15","GHA","Ghana",0.33967263135078
"16","GTM","Guatemala",0.38083244371107
"17","KEN","Kenya",0.365174813899759
"18","NGA","Nigeria",0.470139598477697
"19","PAK","Pakistan",0.426140816945205
"20","RWA","Rwanda",0.436255813762276
"21","MWI","Malawi",0.469693335143396
"22","ZMB","Zambia",0.491672220542765
"23","CIV","Ivory Coast",0.354912168587231
"24","SEN","Senegal",0.378276494515578
"25","UGA","Uganda",0.418977201691117
"26","TZA","Tanzania",0.41673122522482
"27","COD","Democratic Republic of Congo",0.572487783241988
"28","ETH","Ethiopia",0.462675365218084
"29","BEN","Benin",0.475209290285602
"30","MOZ","Mozambique",0.479003761910495
"31","MLI","Mali",0.474377485228733
"32","MDG","Madagascar",0.50538895216241
"33","BDI","Burundi",0.514991876516104
"34","NER","Niger",0.555246283867903
"35","LBN","Lebanon",0.266278931476582
